id,name
1,ajibode grammar school ajibode ibadan
2,aroro community grammar school ibadan
3,orogun grammar school orogun ibadan
4,community high school otunagbaakin
5,community high school arulogun
6,army day secondary school odogbo ibadan
7,community high school apapa odan
8,anglican grammar school agbirigidi
9,ikereku community grammar school ikereku
10,community high school alabataajibade
11,community high school laleye ibadan
12,oyo state school of science pade
13,command day secondary school odogbo ibadan
14,community high school olanla
15,community high school atapa
16,ojoo high school alaka ibadan
17,aponmodemoniya high school moniya
18,community high school pade
19,yinbol college orogun ibadan
20,iwokoto community secondary school olubo
21,islamic comprehensive high school olope
22,the gospel faith mission international compr high sch ibadan
23,king's international college moniya ibadan
24,posit college ojoo ibadan
25,crown heights college ibadan
26,christ victory college moniya
27,trinity home college ojoo
28,praise model college sasaibadan
29,holy mountain college moniya ibadan
30,imperial international college sasa ojoo ibadan
31,great diplomats college ibadan
32,glory academy intl college orogun ibadan
33,ogunsanya girls science academy ibadan
34,community grammar school kajorepo
35,community grammar school seniorsasa ibadan
36,distinct jubilee international college ibadan
37,honeycomb unique college ibadan
38,graceland college moniya ibadan
39,community grammar school moniya
40,amazing grace comprehensive college arulogun rd ibadan
41,community sec school meleokegbemi moniya ibadan
42,emmanuel alayande jnr seminary moyede akobo ibadan
43,federal government girls college oyo
44,oranyan grammar school oyo
45,otefon grammar school otefon oyo
46,isale oyo community grammar school oyo
47,alaafin high school oyo
48,community secondary school ijawaye  asipa oyo
49,community secondary school lagunna oyo
50,isale oyo commercial secondary school oyo
51,okeolola community secondary school oyo
52,bodethomas memorial grammar school oyo
53,school of science oyo
54,aatan baptist comprehensive high school koro
55,anwarulislam college oyo
56,winners international college oyo
57,gods mercy comprehensive college agunpopo oyo
58,community high school oke olola oyo
59,happy day secondary school okeoroki oyo
60,adejare oloyede high school koso oyo
61,comprehensive high school irawo
62,baptist secondary grammar school agoare
63,progressive secondary grammar school tede
64,ansaruddeen society high school agoare
65,ofiki grammar school ofiki
66,owo community grammar school owo
67,ads comprehensive secondary school tede
68,community grammar school owode irawo
69,christ comprehensive high school agoare ibadan
70,bishop philips academy iwo road ibadan
71,urban day grammar school old ife road ibadan
72,idiito high school erunmu
73,community high school egbeda
74,kumapayi community high school kumapayi ibadan
75,osegere olukeye community high school osegere
76,community high school ogungbade ibadan
77,ilupeju community grammar school alugbo
78,community high school kasumuajia
79,olodo community grammar school olodo ibadan
80,community commercial high school ayede
81,community high school owobale
82,providence high school ibadan
83,makehay international comprehensive college ibadan
84,sow the seed model college ibadan
85,achievers comprehensive high school old ife rd
86,amazing grace international college ibadan
87,stars comprehensive college old ife road
88,ibadan city model college iyana church ibadan
89,samuel memorial college oke koto sawmill ibadan
90,living stone college of arts and science akobo ibadan
91,de ayo international college oldife road ibadan
92,deril academy old ife road ibadan
93,educational legacy college ibadan
94,tin carol college ibadan
95,alhayyu model college ibadan
96,god is able college ibadan
97,global school of science ibadan
98,oreofe oluwa college jagunibadan
99,bethel comprehensive college alakia iseboibadan
100,thywill college alakia ibadan
101,the jewels college ibadan
102,community senior high school alakia isebo ibadan
103,community grammar school erumu
104,community secondary school olaogun old ife road
105,urban day grammar school iii old ife road ibadan
106,steadfast comprehensive college egbeda ibadan
107,bishop philips high school
108,springs of wisdom high school egbeda
109,david joel model college oki egbeda ibadan
110,victop college eleyele iyana church ibadan
111,morning star comprehensive college olode ibadan
112,blessed comprehensive college alakia ibadan
113,olive branch college ibadan
114,community secondary school ogungbade
115,gods vision academy igem rd ibadan
116,temidire oxford college monatan ibadan
117,wakajaye community high school ajagba ibadan
118,de lords model college molade ibadan
119,christ life college new ife rd ibadan
120,olatundun model college alakia ibadan
121,regina james academy ibadan
122,lasting glory comprehensive college ibadan
123,community high school alarere ibadan
124,todebim college egbeda
125,divine acumen global college monatan ibadan
126,mount sinai college adegbayi ibadan
127,goshen high school ibadan ife expressway ibadan
128,excellers comprehensive college iyana church ibadan
129,triumph college kl  new ife road ibadan
130,saint annes school molete ibadan
131,ibadan grammar school molete ibadan
132,ibadan city academy ibadan
133,yejide girls grammar school molete ibadan
134,ibadan christ apostolic grammar school aperin ibadan
135,adelagun memorial grammar school odinjo ibadan
136,adekile goodwill grammar school ibadan
137,anglican grammar school molete ibadan
138,saint david high school kudeti ibadan
139,eyinni high school orita challenge ibadan
140,eleta high school ibadan
141,olubi memorial grammar school kedeti ibadan
142,methodist secondary grammar school elekuro ibadan
143,aperin oniyere commercial grammar school aperin ibadan
144,aperin boys high school oritaaperin ibadan
145,urban day grammar school elekuro ibadan
146,community grammar school kedeti ibadan
147,wesley college of science ibadan
148,saint lukes college molete ibadan
149,george and duke international college felele
150,bolade model college owode
151,debby international college olorunsogo
152,varsity high school scout camp challenge ibadan
153,calvary international college felele ibadan
154,ibadan grammar school senior school il ibadan
155,yejide girls grammar school senior school il ibadan
156,st annes senior school ll ibadan
